id,role,version,category,file_path,expected,actual,exact_match,norm_exact_match,char_distance,expected_chars,cer,rtf,audio_duration_s,inference_time_s
principal_001,principal,standard,standard/principal,/Users/lixiaofeng/Workspace/personal/flowrium-voice/audio/standard/principal/principal_001.wav,打开学校今日运行数据大屏。,打开 学校 今日 运行 数据 大屏,False,True,0,12,0.0,0.3258,2.838,0.9248
principal_002,principal,standard,standard/principal,/Users/lixiaofeng/Workspace/personal/flowrium-voice/audio/standard/principal/principal_002.wav,切换到校长驾驶舱首页。,切换 到 校长 驾驶舱 首页,False,True,0,10,0.0,0.347,2.456,0.8522
principal_003,principal,standard,standard/principal,/Users/lixiaofeng/Workspace/personal/flowrium-voice/audio/standard/principal/principal_003.wav,帮我打开学校运行总览。,帮 我 打开 学校 运行 总揽,False,False,1,10,0.1,0.3486,2.358,0.822
principal_004,principal,standard,standard/principal,/Users/lixiaofeng/Workspace/personal/flowrium-voice/audio/standard/principal/principal_004.wav,我想看一下今天的学校整体情况。,我 想 看一下 今天 的 学校 整体 情况,False,True,0,14,0.0,0.2797,3.128,0.8748
principal_005,principal,standard,standard/principal,/Users/lixiaofeng/Workspace/personal/flowrium-voice/audio/standard/principal/principal_005.wav,打开校长驾驶舱里的学校运行总览页。,打开 校长 驾驶舱 里 的 学校 运行 总揽 夜,False,False,2,16,0.125,0.2805,3.605,1.0111
principal_006,principal,standard,standard/principal,/Users/lixiaofeng/Workspace/personal/flowrium-voice/audio/standard/principal/principal_006.wav,看学校总览。,看 学校 总揽,False,False,1,5,0.2,0.4761,1.258,0.5992
principal_007,principal,standard,standard/principal,/Users/lixiaofeng/Workspace/personal/flowrium-voice/audio/standard/principal/principal_007.wav,查看今天全校学生到校情况。,查看 今天 全校 学生 到校 情况,False,True,0,12,0.0,0.2711,3.167,0.8584
principal_008,principal,standard,standard/principal,/Users/lixiaofeng/Workspace/personal/flowrium-voice/audio/standard/principal/principal_008.wav,查询本周各年级学生出勤率。,查询 本周 个 年级 学生 出勤率,False,False,1,12,0.0833,0.3106,2.679,0.8319
principal_009,principal,standard,standard/principal,/Users/lixiaofeng/Workspace/personal/flowrium-voice/audio/standard/principal/principal_009.wav,帮我看一下今天全校到校情况。,帮 我 看一下 今天 全校 到校 情况,False,True,0,13,0.0,0.3108,3.101,0.9639
principal_010,principal,standard,standard/principal,/Users/lixiaofeng/Workspace/personal/flowrium-voice/audio/standard/principal/principal_010.wav,我想查一下这周各年级的出勤率。,我 想 查 一下 这 周 个 年级 的 出勤率,False,False,1,14,0.0714,0.3015,2.861,0.8624
